mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1.625057062,0.030589534,1.248118242,0.064523085,5798660.081,0.002961715,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.002961714834459678})",0.982008996,0.968492123,0.980495124,0.976998747,0.006046759,82
2.321533918,0.021770017,1.527995269,0.071926493,5798660.081,0.003299413,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.003299412611450666})",0.982008996,0.970742686,0.981245311,0.977998998,0.005140451,77
1.651041905,0.067569161,1.357618173,0.038055691,5798660.081,0.004017898,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.004017897988688097})",0.982008996,0.976744186,0.980495124,0.979749435,0.002213081,67
2.282048464,0.020887522,1.414730628,0.004812189,5798660.081,0.004884872,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.0048848723483522})",0.982758621,0.974493623,0.979744936,0.97899906,0.003415142,76
1.868233522,0.123136812,1.584837278,0.064299629,5798660.081,0.005579798,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.005579798178137759})",0.984257871,0.975243811,0.980495124,0.979998935,0.003696663,65
1.65454038,0.010773549,1.299203634,0.049236299,5798660.081,0.005724212,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.005724211916730987})",0.987256372,0.975243811,0.978994749,0.98049831,0.005018029,20
1.840466658,0.057184136,1.862432559,0.036529931,5798660.081,0.005901166,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.0059011657584837895})",0.986506747,0.978994749,0.980495124,0.981998873,0.003245867,1
1.913553476,0.039684529,1.38471667,0.033288728,5798660.081,0.006058832,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.006058831523244467})",0.983508246,0.974493623,0.982745686,0.980249185,0.004081686,22
1.721202691,0.029635915,1.582184394,0.022949261,5798660.081,0.006142934,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.006142933843228431})",0.982758621,0.975243811,0.981245311,0.979749248,0.003245176,68
2.088045835,0.149929045,1.5585289,0.128209543,5798660.081,0.007081608,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.007081607502181388})",0.982758621,0.975243811,0.980495124,0.979499185,0.003147699,74
2.060039202,0.011271665,1.486135085,0.027955542,5798660.081,0.008553437,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.008553436724591527})",0.983508246,0.975993998,0.980495124,0.979999123,0.003087663,61
1.871981382,0.043761389,1.255165021,0.048518814,5798660.081,0.01039882,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.010398820106251278})",0.982008996,0.977494374,0.981245311,0.98024956,0.001973,21
1.667050521,0.049650413,1.256628036,0.077132628,5798660.081,0.011345262,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.011345262195122333})",0.985007496,0.975243811,0.981995499,0.980748935,0.004082306,7
1.952332656,0.042236202,1.92459178,0.061360792,5798660.081,0.011378667,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.011378666567622396})",0.985007496,0.977494374,0.981995499,0.981499123,0.003087237,2
2.076218685,0.056142576,1.259431044,0.071401,5798660.081,0.011791421,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.011791420774572483})",0.982758621,0.978244561,0.981245311,0.980749498,0.00187591,4
1.834572077,0.023109767,1.247679154,0.124881052,5798660.081,0.011909321,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.011909320811319417})",0.984257871,0.977494374,0.978994749,0.980248998,0.002900124,50
1.767997344,0.089755265,1.301252762,0.011944818,5798660.081,0.013449743,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.013449743345342158})",0.984257871,0.975243811,0.980495124,0.979998935,0.003696663,65
2.027588288,0.172874051,1.510651429,0.059376809,5798660.081,0.015555613,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.015555613248980768})",0.984257871,0.976744186,0.981245311,0.980749123,0.00308745,6
2.081458966,0.059619658,1.607662519,0.011361992,5798660.081,0.01614059,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.016140589795075298})",0.983508246,0.976744186,0.981245311,0.980499248,0.002811356,8
1.730091651,0.022003802,1.270666679,0.07448341,5798660.081,0.017671677,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.017671677379343415})",0.985757121,0.975243811,0.979744936,0.980248623,0.004306793,59
1.732171694,0.060094852,1.437358379,0.049190935,5798660.081,0.020362299,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.020362298836528986})",0.983508246,0.974493623,0.981245311,0.97974906,0.003829267,69
1.728176435,0.037579976,1.304270585,0.04406565,5798660.081,0.023382223,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.023382223473122035})",0.984257871,0.975993998,0.980495124,0.980248998,0.003378198,50
1.843471448,0.047966606,1.695919116,0.159859917,5798660.081,0.02637607,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.026376069813742468})",0.983508246,0.975993998,0.981995499,0.980499248,0.003245002,8
1.927895387,0.051248397,1.31092008,0.053667788,5798660.081,0.026977886,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.026977886472133002})",0.984257871,0.977494374,0.981245311,0.980999185,0.002766666,3
1.723860184,0.060061927,1.340284506,0.033160847,5798660.081,0.02859083,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.02859083032132618})",0.983508246,0.975243811,0.979744936,0.979498998,0.00337842,75
2.226808786,0.029505592,1.865531603,0.030917187,5798660.081,0.030078613,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.030078613332630604})",0.984257871,0.977494374,0.980495124,0.980749123,0.002767021,5
1.649180571,0.01740468,1.263853868,0.058356177,5798660.081,0.032137225,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.03213722463838895})",0.983508246,0.977494374,0.980495124,0.980499248,0.002455155,8
2.064017455,0.037941829,1.390400569,0.070863011,5798660.081,0.035398786,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.03539878572702651})",0.984257871,0.977494374,0.979744936,0.98049906,0.002812206,15
1.747483412,0.034361979,1.312708378,0.046907682,5798660.081,0.039608459,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.03960845896790805})",0.984257871,0.975993998,0.980495124,0.980248998,0.003378198,50
1.84447368,0.045950588,1.647941351,0.00818725,5798660.081,0.046480985,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.04648098459176641})",0.983508246,0.975993998,0.981245311,0.980249185,0.003147505,22
2.314642588,0.061250568,1.323320071,0.051377247,5798660.081,0.054020247,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.054020246568608606})",0.983508246,0.976744186,0.980495124,0.980249185,0.002766886,22
1.762111664,0.001904026,2.07489872,0.035090408,5798660.081,0.05751028,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.05751028049385725})",0.983508246,0.975993998,0.979744936,0.97974906,0.00306768,69
1.795966307,0.029172727,1.466834148,0.030878257,5798660.081,0.069472764,"OrderedDict({'C': 5798660.081373344, 'gamma': 0.06947276357248176})",0.984257871,0.975243811,0.979744936,0.979748873,0.003679976,72
