mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_min_samples_leaf,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.26619787216186525,0.03753742714505645,0.003157377243041992,0.0011107928508798154,log_loss,69,8,random,"OrderedDict({'criterion': 'log_loss', 'min_samples_leaf': 69, 'min_samples_split': 8, 'splitter': 'random'})",0.895,0.91875,0.91625,0.89,0.89375,0.9027499999999999,0.012180927715079812,263
0.20324549674987794,0.05341114484840852,0.002224636077880859,0.002426775882414294,log_loss,100,92,random,"OrderedDict({'criterion': 'log_loss', 'min_samples_leaf': 100, 'min_samples_split': 92, 'splitter': 'random'})",0.90875,0.91375,0.87625,0.88625,0.88625,0.8942499999999999,0.014439529078193639,281
2.3237377166748048,0.11886296556150211,0.0020700931549072266,0.0014270605870336773,entropy,2,2,best,"OrderedDict({'criterion': 'entropy', 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'best'})",0.92125,0.925,0.92375,0.9075,0.92125,0.91975,0.0062948391560071,114
0.370345401763916,0.04440456304613877,0.003295421600341797,0.0011496192035963149,entropy,2,99,random,"OrderedDict({'criterion': 'entropy', 'min_samples_leaf': 2, 'min_samples_split': 99, 'splitter': 'random'})",0.92875,0.93125,0.9025,0.90375,0.9075,0.91475,0.012584712948653216,167
2.108636999130249,0.07871439627865917,0.002290201187133789,0.002002749728873555,entropy,31,4,best,"OrderedDict({'criterion': 'entropy', 'min_samples_leaf': 31, 'min_samples_split': 4, 'splitter': 'best'})",0.9275,0.92125,0.92875,0.91625,0.9175,0.92225,0.00508674748734394,89
0.4551032543182373,0.0340143023187038,0.0016090869903564453,0.0009940971571648944,entropy,2,2,random,"OrderedDict({'criterion': 'entropy', 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'random'})",0.90875,0.91125,0.89,0.9025,0.9125,0.9049999999999999,0.008253787009609579,260
0.39929909706115724,0.03711746148350401,0.0030242919921875,0.0014934587402438387,entropy,35,4,random,"OrderedDict({'criterion': 'entropy', 'min_samples_leaf': 35, 'min_samples_split': 4, 'splitter': 'random'})",0.91875,0.90375,0.9075,0.89625,0.90625,0.9065,0.007262919523166958,237
0.38525729179382323,0.05015836315075434,0.0019752979278564453,0.001832388544772107,entropy,20,93,random,"OrderedDict({'criterion': 'entropy', 'min_samples_leaf': 20, 'min_samples_split': 93, 'splitter': 'random'})",0.92875,0.9075,0.90125,0.87125,0.92,0.9057499999999999,0.019726251544578872,246
2.157896614074707,0.11374586736478035,0.002132749557495117,0.0016853345336278875,entropy,21,2,best,"OrderedDict({'criterion': 'entropy', 'min_samples_leaf': 21, 'min_samples_split': 2, 'splitter': 'best'})",0.93125,0.925,0.93125,0.9225,0.91875,0.9257500000000001,0.004911720676097148,48
0.4116245746612549,0.057930720153164146,0.002476406097412109,0.00043224914652265447,entropy,2,11,random,"OrderedDict({'criterion': 'entropy', 'min_samples_leaf': 2, 'min_samples_split': 11, 'splitter': 'random'})",0.9125,0.9175,0.91875,0.91375,0.9125,0.915,0.0026220221204253757,155
2.041250801086426,0.08455846137711093,0.001554727554321289,0.0020922838268816906,entropy,32,99,best,"OrderedDict({'criterion': 'entropy', 'min_samples_leaf': 32, 'min_samples_split': 99, 'splitter': 'best'})",0.92625,0.92,0.91875,0.9075,0.91875,0.9182499999999999,0.006051859218455117,126
2.1393165588378906,0.10064599528205997,0.0026879310607910156,0.0019659113985621224,entropy,2,72,best,"OrderedDict({'criterion': 'entropy', 'min_samples_leaf': 2, 'min_samples_split': 72, 'splitter': 'best'})",0.93375,0.9175,0.92625,0.9125,0.91875,0.92175,0.007441438033068611,97
2.151694488525391,0.1563489431734759,0.0013255596160888672,0.0008541976046271646,entropy,100,3,best,"OrderedDict({'criterion': 'entropy', 'min_samples_leaf': 100, 'min_samples_split': 3, 'splitter': 'best'})",0.91,0.91875,0.89375,0.90125,0.9025,0.90525,0.008492643875731494,252
1.935333013534546,0.19157264303432722,0.003607368469238281,0.003262621431405256,entropy,100,95,best,"OrderedDict({'criterion': 'entropy', 'min_samples_leaf': 100, 'min_samples_split': 95, 'splitter': 'best'})",0.91,0.91875,0.89375,0.90125,0.9025,0.90525,0.008492643875731494,252
2.110281229019165,0.18707775530907444,0.0019299983978271484,0.0016619731180429259,entropy,100,2,best,"OrderedDict({'criterion': 'entropy', 'min_samples_leaf': 100, 'min_samples_split': 2, 'splitter': 'best'})",0.91,0.91875,0.89375,0.90125,0.9025,0.90525,0.008492643875731494,252
