mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
6.295843601226807,0.19908847417823897,0.004476165771484375,0.0025452028662514663,0.0002847240650713371,saga,"OrderedDict({'C': 0.0002847240650713371, 'solver': 'saga'})",0.91375,0.92,0.90875,0.9,0.91,0.9104999999999999,0.0065479004268544,253
4.554181528091431,0.22791807693370447,0.006892538070678711,0.004571264614238564,1106.1867352196975,sag,"OrderedDict({'C': 1106.1867352196975, 'solver': 'sag'})",0.94375,0.94375,0.94125,0.93625,0.945,0.942,0.0031224989991991735,142
4.729074621200562,0.1245899520313627,0.008200883865356445,0.004275400944183776,2.234427542565544,sag,"OrderedDict({'C': 2.234427542565544, 'solver': 'sag'})",0.94375,0.945,0.93875,0.9375,0.94375,0.9417499999999999,0.003020761493398632,151
0.887220048904419,0.19211939833384958,0.00987248420715332,0.0016644260557200365,89948.15741051477,lbfgs,"OrderedDict({'C': 89948.15741051477, 'solver': 'lbfgs'})",0.9175,0.90875,0.9025,0.90125,0.90375,0.90675,0.0059476886266851495,262
1.5628840923309326,0.20248096192651963,0.0015326499938964843,0.0013739571727232518,0.0028474351284062463,newton-cg,"OrderedDict({'C': 0.0028474351284062463, 'solver': 'newton-cg'})",0.94875,0.95125,0.945,0.94,0.95125,0.94725,0.0042866070498705985,127
1.380473804473877,0.12511564271300937,0.005983304977416992,0.004032636349524549,0.617640190396056,lbfgs,"OrderedDict({'C': 0.617640190396056, 'solver': 'lbfgs'})",0.94625,0.94375,0.9425,0.94125,0.955,0.94575,0.004911720676097106,132
1.3154789447784423,0.2505706123630489,0.008369255065917968,0.003065575592828823,3.59765442113789e-05,sag,"OrderedDict({'C': 3.59765442113789e-05, 'solver': 'sag'})",0.89125,0.88625,0.8775,0.87875,0.88625,0.884,0.005147815070493501,299
4.623735189437866,0.17603635162143744,0.006930780410766601,0.002030237668436508,0.6249896278648583,sag,"OrderedDict({'C': 0.6249896278648583, 'solver': 'sag'})",0.9425,0.93875,0.94,0.935,0.94125,0.9395,0.002573907535246736,200
1.1066015720367433,0.1882394711028666,0.005664920806884766,0.003532071561497726,1.3503550662718657,lbfgs,"OrderedDict({'C': 1.3503550662718657, 'solver': 'lbfgs'})",0.93875,0.9375,0.94125,0.92375,0.93125,0.9345000000000001,0.00630476010645926,236
0.7460399150848389,0.2664581312148855,0.006954050064086914,0.005486501470417805,1.1001916899506995e-06,lbfgs,"OrderedDict({'C': 1.1001916899506995e-06, 'solver': 'lbfgs'})",0.92625,0.92625,0.92,0.90875,0.93125,0.9225,0.007745966692414859,246
3.8928261280059813,0.26117449461595804,0.000790262222290039,0.0010251884859027423,0.04255708548045128,newton-cg,"OrderedDict({'C': 0.04255708548045128, 'solver': 'newton-cg'})",0.95625,0.94625,0.945,0.9425,0.95625,0.9492499999999999,0.005841660722773985,86
7.7683509349822994,0.3082708746425917,0.0,0.0,76.08887782528763,saga,"OrderedDict({'C': 76.08887782528763, 'solver': 'saga'})",0.945,0.94125,0.94125,0.93625,0.9425,0.9412499999999999,0.002850438562747823,154
3.6853163719177244,0.20766395890338096,0.006760168075561524,0.005077046500795761,0.8064015628844649,newton-cg,"OrderedDict({'C': 0.8064015628844649, 'solver': 'newton-cg'})",0.95,0.9425,0.94125,0.94375,0.95625,0.9467500000000001,0.005623610939601002,129
3.152539587020874,0.41482708748214736,0.009272098541259766,0.006280627436300915,79275.56304617706,newton-cg,"OrderedDict({'C': 79275.56304617706, 'solver': 'newton-cg'})",0.9425,0.9375,0.93625,0.93125,0.94,0.9375,0.0037914377220257603,206
2.8661802768707276,0.4422178896341313,0.013386964797973633,0.005878013963625172,366.1183450841239,newton-cg,"OrderedDict({'C': 366.1183450841239, 'solver': 'newton-cg'})",0.9425,0.93625,0.93625,0.93125,0.94,0.93725,0.0038242646351945722,225
1.1695024490356445,0.40151500919519106,0.019964075088500975,0.007609357851485999,1e-06,newton-cg,"OrderedDict({'C': 1e-06, 'solver': 'newton-cg'})",0.92625,0.9275,0.92125,0.91,0.93125,0.92325,0.0073569694847810735,244
7.335742092132568,0.33685119294903176,0.0019312858581542968,0.0015636158731410846,1000000.0,saga,"OrderedDict({'C': 1000000.0, 'solver': 'saga'})",0.9425,0.94,0.94125,0.93875,0.9425,0.9410000000000001,0.0014577379737113435,163
6.078108501434326,0.3050355010610236,0.0019582271575927734,0.0017722010887932192,1000000.0,sag,"OrderedDict({'C': 1000000.0, 'solver': 'sag'})",0.94375,0.9425,0.93875,0.93625,0.9425,0.9407500000000001,0.0028062430400804476,169
3.4692272186279296,0.2676113452347036,0.005115795135498047,0.004084443404444375,1000000.0,newton-cg,"OrderedDict({'C': 1000000.0, 'solver': 'newton-cg'})",0.9425,0.9375,0.93625,0.93125,0.94,0.9375,0.0037914377220257603,206
3.1931243896484376,0.31101900100667274,0.009554862976074219,0.009568027335816718,0.004536975380320757,newton-cg,"OrderedDict({'C': 0.004536975380320757, 'solver': 'newton-cg'})",0.9525,0.95125,0.945,0.945,0.955,0.9497499999999999,0.0040620192023179975,63
2.938130807876587,0.09852063554788669,0.0012179851531982423,0.0014918245028667653,0.02261515512137868,newton-cg,"OrderedDict({'C': 0.02261515512137868, 'solver': 'newton-cg'})",0.955,0.94625,0.9475,0.945,0.955,0.9497499999999999,0.004358898943540658,63
