mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.6597537994384766,0.017029175284991545,0.012304385503133139,0.0062510547711258704,0.02663307291768934,OrderedDict({'alpha': 0.02663307291768934}),-0.00044175103738772247,-0.0004231938411091022,-0.0004259812287129958,-0.00043030870240327347,8.17058361178864e-06,31
0.6231702963511149,0.02736291962135027,0.011110941569010416,0.007899433631651567,0.010464816617176962,OrderedDict({'alpha': 0.010464816617176962}),-0.00044175673266712333,-0.000423199131526332,-0.0004259868376317403,-0.00043031423394173187,8.170716375894731e-06,33
0.5980463822682699,0.007992541425988726,0.012009700139363607,0.0025727819559937777,5280.8122695922675,OrderedDict({'alpha': 5280.8122695922675}),-0.00035253928682181036,-0.0003468346543504328,-0.00034394422791814074,-0.0003477727230301279,3.57106324271977e-06,14
0.6161212126413981,0.008595408585806328,0.01763455073038737,0.006409570462239136,3773.61546077333,OrderedDict({'alpha': 3773.61546077333}),-0.00033855934767338937,-0.00032975677689021455,-0.0003272850800288048,-0.0003318670681974696,4.8385448764092136e-06,11
0.4966897169748942,0.03810228282718284,0.004161357879638672,0.005885048751273155,130.0137655561318,OrderedDict({'alpha': 130.0137655561318}),-0.00040864330112264167,-0.0003923102040710836,-0.0003931951806005613,-0.00039804956193142883,7.499612363449656e-06,16
0.7186944484710693,0.029830955007666447,0.009978532791137695,0.0002855021088870138,0.0403907592546341,OrderedDict({'alpha': 0.0403907592546341}),-0.0004417461916963571,-0.000423189339882801,-0.0004259764564994009,-0.0004303039960261864,8.170470654517104e-06,29
0.6704240640004476,0.05548000206505847,0.013559579849243164,0.0048151997634104955,718.7187984279869,OrderedDict({'alpha': 718.7187984279869}),-0.00035612332910184936,-0.0003425606920631119,-0.00034029177325657997,-0.00034632526480718044,6.989923513148935e-06,13
0.627906084060669,0.0012737739829763233,0.012681881586710611,0.002237052499840115,2.378696516948819e-05,OrderedDict({'alpha': 2.378696516948819e-05}),-0.0004417604108395617,-0.0004232025482258743,-0.00042599046002994817,-0.00043031780636512804,8.170802119970462e-06,42
0.609188954035441,0.007656052563302362,0.01506821314493815,0.0068962177610489925,2.356338929408036e-06,OrderedDict({'alpha': 2.356338929408036e-06}),-0.0004417604183894057,-0.00042320255523901857,-0.00042599046746531137,-0.00043031781369791194,8.170802295969299e-06,45
0.486123005549113,0.025738853594362027,0.006769816080729167,0.004786985331939869,9.551253541095917,OrderedDict({'alpha': 9.551253541095917}),-0.0004384942997933074,-0.00042016805404649455,-0.00042277360562324414,-0.0004271453198210153,8.095131646588173e-06,20
0.7758892377217611,0.009694224723889745,0.013725757598876953,0.0048537818151084275,0.1323669447251949,OrderedDict({'alpha': 0.1323669447251949}),-0.00044171380705117994,-0.00042315925730967584,-0.0004259445629165538,-0.0004302725424258032,8.169715784605545e-06,28
0.7065762678782145,0.05556111286314889,0.014071067174275717,0.00519549740142556,3116.253333718269,OrderedDict({'alpha': 3116.253333718269}),-0.00033492566945534264,-0.00032495575961779893,-0.0003224509827633698,-0.0003274441372788371,5.388164161919246e-06,7
0.6547824541727701,0.03362801048979362,0.011016130447387695,0.0012179472730247665,1.4509365687055279e-06,OrderedDict({'alpha': 1.4509365687055279e-06}),-0.0004417604187083734,-0.0004232025555353099,-0.0004259904677794407,-0.00043031781400770797,8.170802303405754e-06,46
0.6166714827219645,0.009527358512626479,0.014078060785929361,0.002449491312557095,0.03219572691818413,OrderedDict({'alpha': 0.03219572691818413}),-0.00044174907807500064,-0.0004231920210780438,-0.00042597929911037817,-0.00043030679942114087,8.17053793830062e-06,30
0.5201847553253174,0.03076520060729025,0.007255236307779948,0.0102604535846841,2981.7181773155176,OrderedDict({'alpha': 2981.7181773155176}),-0.0003344257056998891,-0.0003242316718952912,-0.0003217062172434456,-0.00032678786494620866,5.4982990602287615e-06,6
0.6045196851094564,0.024626354848565218,0.009060382843017578,0.00784973997921288,1831.3601692151838,OrderedDict({'alpha': 1831.3601692151838}),-0.0003351684494462309,-0.0003232555851391915,-0.00032046198274440047,-0.00032629533910994097,6.37704836974113e-06,3
