mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
28.19354444,1.241113325,0.292346334,0.150871387,450669.1696,linear,"OrderedDict({'C': 450669.16959489934, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
26.62259459,1.821205019,0.411885691,0.256505845,747.8955144,linear,"OrderedDict({'C': 747.895514384923, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
27.8033874,1.822549708,0.375624132,0.17505656,451641.0558,linear,"OrderedDict({'C': 451641.05575799337, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
28.44637094,0.753300522,0.407020855,0.148969895,452634.8187,linear,"OrderedDict({'C': 452634.8186864173, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
28.59733677,1.407424938,0.223211241,0.098593425,453681.2433,linear,"OrderedDict({'C': 453681.24325432006, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
27.53132644,1.24399899,0.374787569,0.210624297,454787.7005,linear,"OrderedDict({'C': 454787.7005372846, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
25.13138943,2.539424911,0.90728941,0.888085147,455910.7523,linear,"OrderedDict({'C': 455910.7522777481, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
28.12743368,0.556578737,0.212059212,0.040656704,457083.0745,linear,"OrderedDict({'C': 457083.0744891434, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
27.89324012,0.803671508,0.245889473,0.150034593,458280.5042,linear,"OrderedDict({'C': 458280.5042082917, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
27.40097141,0.730639046,0.40078845,0.293732078,1641.077506,linear,"OrderedDict({'C': 1641.077506138174, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
28.29501147,0.467487403,0.226599741,0.045352948,460627.2114,linear,"OrderedDict({'C': 460627.21136263444, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
27.42427726,1.366504168,0.238199234,0.089457672,1602.92457,linear,"OrderedDict({'C': 1602.9245700705583, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
27.55689607,1.853551052,0.294048119,0.200867537,463228.5491,linear,"OrderedDict({'C': 463228.54913400824, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
27.94642386,1.116360672,0.266510201,0.132604125,464592.4682,linear,"OrderedDict({'C': 464592.4682074824, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
27.79075508,1.049183696,0.198711443,0.074573329,465960.7324,linear,"OrderedDict({'C': 465960.73244633316, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
23.75718775,2.804222829,0.558567905,0.66163141,651.9936348,linear,"OrderedDict({'C': 651.9936348201682, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
26.91577945,0.876729481,0.175969028,0.054197606,468786.8637,linear,"OrderedDict({'C': 468786.8636805941, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
26.68640757,0.505839062,0.209676933,0.040956579,10597.99223,linear,"OrderedDict({'C': 10597.992227451325, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
27.15843239,0.713161272,0.227777433,0.048229966,452189.4345,linear,"OrderedDict({'C': 452189.43445609213, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
25.07247567,1.209131974,0.449136734,0.350847406,631.0640513,linear,"OrderedDict({'C': 631.0640513452638, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
26.19861646,1.704650367,0.194213009,0.072036386,454896.8558,linear,"OrderedDict({'C': 454896.8557875277, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
26.98361444,0.918396011,0.274828959,0.133467433,456350.5174,linear,"OrderedDict({'C': 456350.5174396122, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
24.02829738,3.098308857,1.13451376,0.870488939,457821.9134,linear,"OrderedDict({'C': 457821.91344507295, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
25.46887236,2.177345123,0.305776167,0.084104878,618.1733588,linear,"OrderedDict({'C': 618.1733588330587, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
26.97015362,0.720077801,0.185071373,0.047786487,461081.723,linear,"OrderedDict({'C': 461081.72299664194, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
